Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-07-10,500.75756804405694,510.438646140896,498.7818277524893,509.01971435546875,3033297,0.0,0.0
2012-07-11,504.8347691831905,518.0003532425652,504.34983714943854,515.80908203125,3760461,0.0,0.0
2012-07-12,510.47472013030847,514.5699056574489,504.34997263369246,505.6431579589844,3059554,0.0,0.0
2012-07-13,507.5829041075749,511.13923718119605,503.4698117737389,504.6192932128906,1711581,0.0,0.0
2012-07-16,506.50540402376504,508.2655649710872,495.40538904971436,496.8961486816406,2996491,0.0,0.0
2012-07-17,501.18870938268856,502.80521545432924,493.4474567650739,495.1717529296875,2564183,0.0,0.0
2012-07-18,495.7464250643908,504.70908417028164,489.837209896051,503.4518127441406,3184132,0.0,0.0
2012-07-19,509.3969667040323,510.47462093236044,502.93094267036645,505.28387451171875,1640313,0.0,0.0
2012-07-20,508.66073142808864,509.8102625901807,497.2015307337263,499.4646301269531,2144160,0.0,0.0
2012-07-23,495.1896631391513,499.62607602205554,483.5148872018406,495.04595947265625,9061431,0.0,0.0
2012-07-24,496.80632201964846,499.96745833289714,485.4009437800668,486.6402587890625,4014294,0.0,0.0
2012-07-25,484.95180611547187,486.49648496405257,478.16246109711574,482.02410888671875,2753604,0.0,0.0
2012-07-26,483.1557256808381,484.2154232181699,472.37903436652545,473.51055908203125,3932214,0.0,0.0
2012-07-27,478.71924058971564,485.43670869630125,469.8284580177552,474.10321044921875,3398332,0.0,0.0
2012-07-30,477.8930975529984,492.1363380475292,476.7795296429842,490.80718994140625,2987266,0.0,0.0
2012-07-31,492.2261405466248,495.477109759051,481.0543007779801,491.9207763671875,3081606,0.0,0.0
2012-08-01,490.5557374880936,497.72222493847397,488.50816964512774,496.48291015625,2091730,0.0,0.0
2012-08-02,494.4174120779082,501.7096468103772,491.5975046108712,499.6620788574219,2932636,0.0,0.0
2012-08-03,495.62078546016585,501.06302601085787,486.04744631398717,496.57269287109375,3000912,0.0,0.0
2012-08-06,502.91313420755193,508.12188828913844,501.1170104093544,505.14031982421875,2442912,0.0,0.0
2012-08-07,506.18196210056817,510.45671518758826,503.3440979056307,509.2712707519531,1996521,0.0,0.0
2012-08-08,510.13354968792737,513.2946861754543,503.1825421113108,504.74517822265625,2109111,0.0,0.0
2012-08-09,506.50522470617807,511.8755883051202,500.03920077091556,509.50469970703125,2869107,0.0,0.0
2012-08-10,511.1752510181336,513.3305599716417,504.74513908780494,511.5164794921875,2133697,0.0,0.0
2012-08-13,510.74412921855765,518.0004502838073,507.6547711950745,517.3717651367188,2059618,0.0,0.0
2012-08-14,521.0964306397968,530.1084149712909,517.8259508451881,528.5822143554688,3716007,7.333333,0.0
2012-08-16,529.4543570213613,538.4300120353687,527.2922352091913,536.867431640625,3476083,0.0,0.0
2012-08-17,535.995402644947,538.3392736117706,525.2936814498055,527.5830078125,2852140,0.0,0.0
2012-08-21,527.6375650076644,534.9234873736973,519.6430617397459,532.99755859375,2794401,0.0,0.0
2012-08-22,528.7276070655786,532.8702016829885,526.4019013898959,529.5452270507812,1943563,0.0,0.0
2012-08-23,530.6172588655776,532.7793808773963,519.3522768146639,520.4242553710938,3005172,0.0,0.0
2012-08-24,518.8253243851233,520.1880410778002,511.4122493763789,516.2998046875,2935311,0.0,0.0
2012-08-27,513.5015996172128,516.008953869271,504.489616302376,507.5057373046875,2594868,0.0,0.0
2012-08-28,506.50657507930276,508.0509408943302,492.5707034264346,494.8236999511719,2949187,0.0,0.0
2012-08-29,499.94745406204487,499.94745406204487,489.0640340395323,490.33587646484375,2466006,0.0,0.0
2012-08-30,489.48187112740845,499.6566592814532,481.2511262877601,492.2617492675781,5589564,0.0,0.0
2012-08-31,489.8451814276492,493.0793314804784,482.41394218763395,487.9919128417969,3766646,0.0,0.0
